Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
"Congo, Rep.",COG,42.5,73.82521584272155,10.0,54.477,5833.863366514361,6.6,15592.349389938228,-1.1045621892685773,341500.0,10373797053.0,8367965464.000001,2.04447551898046,-24605.0,41.3342408709396,55.9893261389154,7.35294117647059,62.3,7106.333714237354,62.8682817180686,75.35347639883119,Congo (Brazzaville),3955.0,0.68,54.14,726.0,-104.0,752.0,599.0,291.0
Colombia,COL,97.8,37.84647719138581,10.0,61.053,12779.886581831845,51.7,19210.60146469724,1.907676432211616,1109500.0,57570511568.0,57866019240.0,3.27226285651869,-64789.0,25.658665088736,67.7967037079735,12.1212121212121,32.0,11247.020648656491,77.0315988189922,44.36474991630153,Colombia,6607.0,901.0,67.86,841.0,-74.0,898.0,815.0,278.0
Comoros,COM,69.4,72.10439699335008,6.0,42.398,2832.5312154814624,6.5,2944.132410195628,1.752238480064321,1861.0,16596961.0,209585746.0,,-2365.0,40.1513230895191,55.684957824165,3.03030303030303,63.6,6818.700935962359,29.7043482521482,58.42758323993255,,,,,,,,,
Cabo Verde,CPV,84.3,45.57812551395413,10.0,52.404,6367.280013225015,37.5,6128.868143892342,1.4247601971565445,4030.0,69137993.0,717465671.0,0.4836641656743899,-6622.0,29.7566499097076,65.2871296793401,20.8333333333333,25.9,9815.450619697278,64.7486207521826,36.8725868725869,,,,,,,,,
Costa Rica,CRI,99.6,34.23288719758783,13.0,58.43,15232.07715294966,45.96,32779.551152551554,4.590211674811442,51060.0,11484729101.0,18121748979.0,,1579.0,23.4234747135744,68.4238638023794,38.5964912280702,37.8,23171.40138805324,73.9431776192863,27.236289019368108,Costa Rica,7158.0,902.0,69.68,898.0,11.0,813.0,809.0,278.0
Caribbean small states,CSS,95.5637395418446,36.2665201199495,6.0,57.13416236250906,20903.058599095573,,38151.9244675892,1.2888293151433388,398527.61,24679846063.0,23633978274.0,,-6395.0,24.70660081050181,68.12519057495368,17.80104712041886,6.860158102766799,30744.71235712992,50.15075391389836,19.85027332608674,,,,,,,,,
Cuba,CUB,98.5,24.70331831957871,9.0,53.442,,27.93,21411.89362002068,2.657830239662644,104220.0,3802639830.0,11708250857.0,3.51272878104423,-37619.0,17.113261951551,69.2751590025551,48.8562091503268,18.2,18688.890304085497,76.81640625,17.228352913625823,,,,,,,,,
Curacao,CUW,100.0,28.359958117597333,14.0,,24821.796301247035,,,1.3323000000000604,444.0,18567885.0,4543922.0,,1283.0,19.1929936422883,67.6762165177887,,1.1,,91.2938785868797,,,,,,,,,,
Cayman Islands,CYM,100.0,23.648240531531734,12.0,,63648.25475131447,71.4,,1.378205985916054,240.0,,,,1077.0,18.0223339868724,76.2100417696701,,0.0,,100.0,,,,,,,,,,
Cyprus,CYP,100.0,22.597157112104224,10.0,53.707,28499.85546875,65.4548,22260.610529925347,-0.9377389499643414,9240.0,1677880153.0,6314788481.0,1.60700908951525,11914.0,16.2170209351336,71.7655281929563,10.7142857142857,9.7,34754.699866969255,67.2102333625375,13.51956104273001,Cyprus,5439.0,744.0,71.28,656.0,98.0,867.0,657.0,0.42
Czechia,CZE,100.0,21.95278142366893,9.0,55.135,31013.00829338312,74.1104,31573.46746204598,1.2715877867745036,77220.0,162173021034.0,143441247090.0,1.00870446252121,5427.0,14.9260797747157,67.9917611396456,19.5,13.9,32937.995219598604,73.1622186934979,14.18930471847079,Czechia,6698.0,888.0,68.06,726.0,-0.16,916.0,656.0,253.0
Germany,DEU,100.0,20.06316636773795,13.0,57.074,45889.0173022052,84.17,76422.95888709174,1.9956988813880367,348880.0,1438758182197.0,1180444102364.0,1.16213791467872,462384.0,13.2325545744687,65.9544693115349,36.4500792393027,13.6,73341.17922920398,80.4732318400362,6.52421225849841,Germany,6965.0,931.0,70.06,894.0,0.02,566.0,693.0,205.0
Djibouti,DJI,58.6,57.4996587280712,10.0,24.258,3762.2819610399015,12.7,30628.608414850205,,23180.0,1708615468.0,2096652476.0,,2033.0,35.0719341364883,60.9950808494305,12.7272727272727,29.9,11743.032985051368,70.7969331287484,32.55089804917673,,,,,,,,,
Dominica,DMA,94.6,33.32694763729246,12.0,,11286.2696974861,51.0,,4.793993212000629,750.0,53279967.0,186864073.0,,1376.0,22.4585813669942,67.3886538047766,12.5,11.4,,69.119704197722,,,,,,,,,,
Denmark,DNK,100.0,26.818741698727937,10.0,56.95,46869.193288774935,94.6297,113119.17980465098,0.8469112599220239,40000.0,110016590737.0,97346856443.0,1.22352490397164,21359.0,17.3294991881603,64.6171531249485,39.1061452513966,27.0,93598.4611470344,87.5436524760432,6.674829351471293,Denmark,7589.0,965.0,70.06,0.92,211.0,0.17,826.0,195.0
Dominican Republic,DOM,98.4,46.090542712250446,15.0,54.912,12413.91001835603,45.9,22653.866867834386,4.628596708808445,48310.0,9022244578.0,17510769725.0,0.611824773045351,-36673.0,29.8367468761136,64.7350689743038,20.7650273224044,16.6,13525.46625689738,74.2251359951216,41.57228015607004,Dominican Republic,5016.0,878.0,63.68,889.0,18.0,752.0,766.0,295.0
Algeria,DZA,99.2,41.95531389493832,10.0,38.663,14370.820661674035,22.5,18292.36378419314,0.8927529930638372,2381740.0,65950789176.00001,54848582045.0,4.42382453876042,-30052.0,28.0774960876092,66.9223817569513,31.6017316017316,0.1,13877.837881917872,68.9463836079277,26.92807701701544,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,96.09285351682642,30.01632221125413,9.0,66.64369111636042,11177.04533278876,38.2,16615.306745357128,2.8690452471251007,15985860.383,3066316554233.0,2659059631238.0,1.6300276673325067,-351854.0,21.179811599112988,70.5609818760368,19.316877152698066,14.604916609188257,14342.103443473,51.81221906956444,42.56633153654161,,,,,,,,,
Early-demographic dividend,EAR,83.79931257546943,48.90503891670684,10.0,52.37977496101092,7978.416440989175,,11243.194543507843,4.33767609517939,33318304.71,2360401949197.0,2475676035785.0,2.383533249202209,-4477911.0,31.178489551037107,63.75312279078933,20.069270733115264,24.027501929398312,11176.229699008896,43.52322981135518,59.59576525197436,,,,,,,,,
East Asia & Pacific,EAS,96.47564669900828,29.13550913762352,9.0,65.65582540307457,14414.518281313927,43.2,22408.40834045612,2.1670083558869,24459294.683,5500609790483.001,5201258386423.0,1.536299476091985,343334.0,20.4337742781944,70.13357554554143,18.82742548755061,12.807588042962044,23266.384134334177,55.69591589504935,39.477336748445566,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,99.72865251556804,33.29792769597706,9.0,50.67692591974641,15212.709055367775,43.2,17713.65648734926,3.499917046394806,5907266.0,421418994387.0,538038454003.9999,1.934139942046992,186549.0,22.724797339948285,68.24687986161675,18.27573922337015,8.042457292815833,15217.730037183015,63.85000395556585,29.527164428531687,,,,,,,,,
Europe & Central Asia,ECS,99.84952137268728,26.075701609098623,10.0,52.56792372990555,29778.95028552091,66.1,46433.99099255188,1.4643507390812758,27440727.775,7453628856297.0,7166351684173.001,1.730543480649074,1397555.0,17.57720670810527,67.408373274506,24.79762547220723,12.276156560934936,50106.33229838157,71.67864575484667,15.074112825341404,,,,,,,,,
Ecuador,ECU,98.0,47.22003991250448,15.0,60.342,11295.612780441888,40.2791,22768.566401039403,2.6668672801717577,248360.0,24881025644.0,26891752239.0,2.83298697009902,-6182.0,30.0653486852687,63.6707396710756,38.6861313868613,11.8,14272.513495822202,62.8837286624122,44.968689323008206,Ecuador,6019.0,801.0,66.82,787.0,-194.0,646.0,824.0,267.0
"Egypt, Arab Rep.",EGY,99.9,54.67756351854565,9.0,42.065,10511.39316784946,29.4,17781.66568355639,8.712674574884716,995450.0,27959015874.0,65041893567.0,1.61005697699419,130305.0,33.906155789662,62.0110954010074,,5.3,12805.349287726813,42.7514277188751,20.50271597955191,Egypt,3559.0,675.0,61.88,474.0,-0.14,913.0,487.0,483.0
Euro area,EMU,100.0,23.364711133361464,10.0,50.05368448145279,39017.03715292736,,70765.49707016908,1.241043798878195,2736891.66,4629657484913.0,4433613301059.001,1.352828553953807,483665.0,15.316100761589263,65.55227848139818,29.759251003120813,15.7039596875564,72106.58548988902,75.68336917799503,10.874173514596317,,,,,,,,,
Eritrea,ERI,43.5,77.40334654125937,8.0,74.856,,0.9,,,121049.278,277694989.0,462941619.0,,-33974.0,41.96199502303,54.2121198863959,22.0,79.7,,35.6713333129883,49.1466391147448,,,,,,,,,
Spain,ESP,100.0,22.469898721126498,10.0,43.701,32613.68918114739,71.635,65717.54208029795,0.4381750326971882,500210.0,303458759588.0,339970459084.0,1.26618872678062,-250741.0,15.0721422735095,67.0770392025555,36.0,16.9,60225.05863041251,78.9858086902112,12.65371791851696,Spain,6.15,929.0,71.36,759.0,-105.0,916.0,663.0,372.0
Estonia,EST,100.0,23.82388544468512,9.0,55.984,27831.15262342133,80.0043,27790.57305417445,4.123953890366551,43470.0,16115238298.0,18280256369.0,1.88381591331462,-2688.0,15.7387078649341,66.0628361595682,20.7920792079208,24.5,33105.6321581058,68.0923458296768,7.734747089034761,Estonia,5367.0,901.0,67.74,754.0,-204.0,726.0,651.0,199.0
Ethiopia,ETH,30.8,82.87312675137632,8.0,79.409,1252.8689640800426,4.6,1960.937058094049,4.901979297192497,1128572.1,1867208574.0,12073006705.0,0.806417193723534,80955.0,44.0167937522897,53.1134705274755,27.7879341864717,92.4,2176.947386256488,18.615514755249,87.7271951584348,Ethiopia,4445.0,602.0,56.98,707.0,-8.0,0.75,0.57,213.0
European Union,EUU,99.8381173752727,23.155097681260727,10.0,50.2625009250937,36199.60118552251,,60895.32560686392,1.144927441191996,3996781.36,5474419749580.0,5249179707605.001,1.3469832679103346,559014.0,15.321287084233427,66.16809522112679,27.68176400476757,16.79745202796987,65468.551703794656,73.53767766183714,12.205794535159246,,,,,,,,,
Fragile and conflict affected situations,FCS,50.59377600084762,74.03201933636039,9.0,62.37696739506481,5093.91239922588,13.5,8709.131737272493,3.320197279108818,20454640.378,468039264728.0,428322316305.9999,2.061902526524881,-1250234.0,40.915103191234486,55.26676703830052,17.01001430615165,52.45318099270106,6270.975073476639,42.85042769335076,66.62964160079171,,,,,,,,,
