Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
SLE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
SLV,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.7222222222222222,7
SOM,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
SRB,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0.8333333333333334,5
SSD,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SUR,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0.7222222222222222,11
SVK,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
SVN,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
SWE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
SWZ,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
SYR,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.6111111111111112,9
TCD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
TGO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
THA,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0.5,12
TJK,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.7222222222222222,9
TKM,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0.7222222222222222,9
TTO,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.7777777777777778,7
TUN,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0.8333333333333334,7
TUR,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.7777777777777778,4
TZA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
UGA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
UKR,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0.7777777777777778,8
URY,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0.7777777777777778,9
USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
UZB,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0.5,10
VEN,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.5,6
VNM,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0.5,12
XKX,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.7222222222222222,7
YEM,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,4
ZAF,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.8888888888888888,5
ZMB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
ZWE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
