Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Namibia,NAM,-1.4367988449608504,1.028229269259481,-1.2706153504389088,-0.9311885538125351,-0.6509902249873284,-0.278530008955983,-0.3043759974144511,-0.0959607676208909,0.13967218808283444,-0.30720032552013626,-0.30511929119500636,0.26568087876437696,0.1324972042544486,1.1123333054725286,-0.819413008964334,1.7213372454472489,-0.5316493452511015,-0.5240450158635941,-0.2719146647353843
Nauru,NRU,0.56185732034268,1.1025922210831118,1.7310596406394547,0.0,-0.5609791459352823,0.0,0.0,-0.09964944253845708,-0.3836234448585966,-0.3094053737919729,-0.30794770547653366,0.0,0.11904277311509774,1.2004738315410743,-0.8186157506731613,-1.3680027970331265,0.0,1.7470553566191762,0.0
Nepal,NPL,0.2849072743421907,0.09310393578590359,-0.41299392441651916,-2.128955880772657,-0.8635049880587893,-0.671221961556339,-0.7667374533304157,-0.11162948041791472,-0.2925185059327335,-0.3090036045200521,-0.30318953138900717,-0.43533443550982753,-0.3471157691615537,0.2615323074187927,0.1930983558300533,0.7000159436450872,-0.8129749210532184,0.2287636789962565,1.7165812644544294
Netherlands,NLD,0.56185732034268,-0.9378562418667564,1.3022489276282598,0.7866976917708596,1.9066302634235635,1.204130543379234,1.8506823396806222,-0.10143235705345346,-0.3622344739881906,0.05769542289288608,0.025138201537097483,-0.2805739678828675,0.28371645259161854,-1.0815443704527818,0.148707694995857,1.3335462130878528,1.899228690824773,1.5347716686102648,-0.9916253980996668
New Caledonia,NCL,0.56185732034268,-0.5165117435751763,-4.272290341517272,-0.6035194551349119,-1.320219258838566e-16,0.0,0.0,-0.29083559744129567,-0.37201682946205533,-0.3087978451443261,-0.3068475399036868,0.0,0.11976311946637992,-0.45128431231458893,0.6229247029172678,0.0,0.0,0.28359406031835416,-0.9743194374378111
New Zealand,NZL,0.56185732034268,-0.6953096783032591,0.015816788594675592,1.1267829078643312,0.9256665035006174,1.165791402022803,0.78788631974778,-0.14111362847403056,-0.21626825494866503,-0.2927697470030583,-0.28794267174079485,-0.3729387844285989,0.14356868869619305,-0.7638377051119788,0.1757660784521483,1.724226895464832,1.6324758762114535,1.01596630160185,-1.0081255290068034
Nicaragua,NIC,0.021804730641725813,0.11382743002501898,-1.2706153504389088,0.5410913691386096,-0.7573653010420275,-0.5593517125545024,-0.6301234393289569,-0.01884055161255434,-0.3071443668458997,-0.3081192621634,-0.3047708804584884,-0.6516408804608931,0.1101118439446989,0.31015323003879414,0.2789809013498465,2.4012306138695796,-0.8321393454734152,-0.10787998319007092,0.10158566319174112
Niger,NER,-3.1261941255638344,2.5179742613730034,0.0,2.135883450653945,-0.991247474347932,-2.1531093639472387,-0.7501225966401603,-0.1533104592728704,0.421517167983183,-0.3093017129542462,-0.3067250549882505,-0.05677490373419452,0.12034349330390584,2.071702393231354,-2.336311501760683,0.0,-0.8956753891421504,-1.9854831806309916,1.9984804694883727
Nigeria,NGA,-1.2290863104604837,1.6104117757452745,-0.41299392441651916,2.2120291707433273,-0.7433771798611418,-1.4242700073212005,-0.7161941261257007,-0.018088191569954906,0.19527715603953927,-0.28410098551351415,-0.28241449669502416,-0.531120385342473,0.05328072738382756,1.5288631017996734,-1.4589798864492318,-1.9743959806696216,-0.7792643871331523,0.030512400182916108,1.269760146076263
North America,NAC,0.56185732034268,-0.7775411109882749,0.4446275016058704,0.273764861789988,1.8579412283471526,1.0355474719913134,0.0,-0.15128086809096217,7.399714494577264e-17,0.7333302818257856,1.1513298669553795,0.43576439217480967,2.1180983509202065,-0.8654191767059979,0.20822366373915419,0.3896058673706677,0.0,0.8546818512141721,-1.3747374888358097
