Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Portugal,PRT,100.0,20.537463790230387,12.0,54.238,45250.01487598647,84.4969,36106.48356462127,5.32750036102243,91605.6,80253824742.0,114333585810.0,1.38999857860246,68696.0,13.0022182335776,63.3097782510393,36.9565217391304,,42720.39415744265,61.1259255772782,10.504353663994795,5953.0,862.0,71375.0,903.0,-137.0,893.0,638.0,316.0
Paraguay,PRY,100.0,44.61018348801745,13.0,65.812,16347.043497477647,76.2592,24591.616638200285,8.054460502710484,396012.042,9955697893.0,16768776698.999998,0.871127145265658,-12500.0,28.926431676879,64.8426572495616,17.5,,10581.931216463096,68.6396537819458,37.33477999495928,6138.0,899.0,65.95,922.0,-11.0,839.0,821.0,238.0
West Bank and Gaza,PSE,100.0,67.1616039450887,10.0,34.004,6163.248978376131,88.6469,8226.039843107454,1.6826565273999137,6025.0,1525158760.0,9086645759.00001,,-5006.0,38.6899535744646,57.6072471335106,,15.4,13831.48597918834,86.5961423216016,18.38052873313807,4908.0,0.86,,695.0,,836.0,584.0,362.0
Qatar,QAT,100.0,18.29159398621148,12.0,87.461,122920.54329029,99.6528,122381.38010925484,25.87687974873729,11490.0,130139633718.0,32558792645.0,6.500205652723031,80004.0,15.2480159587617,83.3608820189078,4.44444444444444,,72623.62528410301,99.243997525719,0.4701415788454945,,,,,,,,
Romania,ROU,100.0,24.84280788299687,10.0,49.682,40884.59459008193,85.5031,21039.53186248677,12.051275290788,230080.0,96376869897.0,132450853366.0,1.75011695275109,89076.0,16.0158785210186,64.4688744544758,19.0909090909091,,30272.15297141187,52.1634832477272,13.41972412449544,6437.0,0.83,67175.0,836.0,-172.0,941.0,615.0,258.0
Russian Federation,RUS,100.0,26.70684857174618,11.0,59.541,40938.98828125,90.418,24320.843199559968,18.184689261661816,16376870.0,592681518368.697,239752064361.164,4.60728884010235,765629.0,17.6893198696339,66.2351438367188,16.2222222222222,,17613.73404843801,74.8544893625017,5.261631844095991,6044.0,0.92,65325.0,776.0,-0.07,767.0,614.0,211.0
Rwanda,RWA,50.6,65.64966727050651,6.0,51.089,3098.6770063499434,31.2252,3726.748077353638,15.81131422368027,24670.0,1562504485.0,3736850735.0,1.33346574344023,-9001.0,38.1567617974614,58.1217900773788,61.25,79.9,5190.204640168512,27.7806702737761,37.98145019391212,,,,,,,,
Saudi Arabia,SAU,100.0,33.92087100331704,9.0,60.235,71968.07495588803,100.0,150198.70768915312,12.583206706084669,2149690.0,407413007070.0,183500545622.0,6.397422152789931,977072.0,24.6445233084711,72.6529825167567,19.8675496688742,,38965.76557119054,84.1349430023993,1.795014584827306,6382.0,0.9,64.6,,-27.0,,677.0,205.0
Sudan,SDN,63.2,73.10518648566891,8.0,34.698,3355.37817382813,,5439.881302093475,116.87407540579434,1868000.0,19501114483.0,10974406922.0,,-26668.0,40.9119122964239,55.9630766611387,,,4766.133209256852,34.7209852053086,39.6653000762195,,,,,,,,
Senegal,SEN,67.9,68.37086420241545,11.0,50.472,4530.22059496055,59.2246,4651.721824897021,9.347021826143193,192530.0,5498936719.0,11967792380.0,1.52411336065101,16425.0,39.1603034665879,57.2763044893002,44.2424242424242,,5239.8731010980055,53.4435061024348,63.7301648214595,4907.0,609.0,60.3,758.0,52.0,854.0,813.0,287.0
Singapore,SGP,100.0,15.942474875102858,6.0,67.23,143094.94989695883,95.9539,211397.2171302364,14.921410129068803,718.0,515774726328.0,475809246402.0,2.40634363671921,214842.0,12.005289665656,75.3038137328294,29.126213592233,,92399.8214972856,100.0,9.19152251402134,,,,,,,,
Sierra Leone,SLE,29.4,67.3765387169045,9.0,51.981,3143.964510505068,19.2287,5505.799636349093,26.957453093747247,72180.0,482255588.0,1876954158.0,0.582258374348818,-4000.0,38.9762343725204,57.848386331129,12.3287671232877,71.6,3617.66083820972,44.2666343543487,86.766097222455,2.56,502.0,55.3,0.66,101.0,862.0,494.0,505.0
El Salvador,SLV,100.0,38.50954736172644,15.0,58.279,11875.964806623284,65.5298,10076.625081822169,6.58456346218459,20720.0,7114810413.0,17088491027.0,1.43329011743175,-23255.0,25.617058623933,66.521310462096,27.3809523809524,,10057.05116103686,74.1465021298679,32.06810119310427,6492.0,772.0,65.95,914.0,-112.0,621.0,823.0,296.0
"Somalia, Fed. Rep.",SOM,48.9,92.46537168720808,8.0,27.438,1486.4724733383357,27.6,,7.9373318298771665,627340.0,731810104.0,4154590665.0,1.16300107811428,-92434.0,46.8214482984594,50.6367383206408,19.7080291970803,95.4,,53.5010115886789,46.11998275291241,,,,,,,,
Serbia,SRB,100.0,22.581612194017712,8.0,52.25,25507.32876068469,83.5383,15934.25028133685,10.458304150402428,84090.0,29056960753.0,41125108939.0,2.17267406821898,40118.0,14.3546142379414,63.5677114259477,36.5546218487395,,18180.26540900534,61.9013813540396,24.071064476547388,,,,,,,,
South Sudan,SSD,8.4,72.55199615342225,8.0,64.363,,,,,631930.0,532078146.0,1348999106.0,1.57467379753671,40259.0,40.854105652504,56.3101038886271,32.3636363636364,,,20.7752121046616,80.5251263012678,,,,,,,,
Suriname,SUR,99.0,39.54712675906544,6.0,49.152,20078.83655459504,77.6494,18199.18287058857,49.42328373968024,160507.61,2810850490.0,1795953738.0,,-988.0,26.2550468255548,66.3893453408733,29.4117647058824,,17936.826664871565,65.8985443115234,18.88206622070917,,,,,,,,
Slovak Republic,SVK,100.0,24.026633809769425,11.0,57.4,41562.149779391286,89.0677,28007.15728571883,7.333874589448158,48080.0,108338773313.0,112405263331.0,1.8012769663901598,92314.0,15.9683376980892,66.4610251066265,21.3333333333333,,39110.52793407889,53.1902831072528,12.341445860717078,,,,,,,,
Slovenia,SVN,100.0,23.57948683816433,9.0,56.684,52347.10972653797,88.9125,50197.40864083269,6.478254027442659,20136.4,69630549501.0,69422628957.0,1.29505522763484,9014.0,15.09619766758,64.0225309044699,40.0,,45279.83595342585,55.3377817873563,11.18810363932133,6723.0,942.0,71225.0,0.93,101.0,762.0,625.0,242.0
Sweden,SWE,100.0,28.13090377886328,10.0,59.77,67075.6762724717,95.0097,144909.5028543965,6.027195571185402,407280.0,195244290383.0,202513418451.0,1.33147661923348,58955.0,17.4887850472637,62.1693131278881,46.4183381088825,,88420.54063551895,88.4038576504809,7.0844150332490345,7431.0,949.0,72275.0,939.0,234.0,213.0,0.75,163.0
Eswatini,SWZ,82.3,54.72857165528442,7.0,32.04,10635.39241561134,57.465,29420.31311675153,8.86865470026568,17200.0,1992936082.0,2123623304.0,1.65499533493805,-8549.0,33.9505618309376,62.0343969418742,13.5135135135135,64.7,13824.54509644014,25.396682918542,29.38309989106461,,,,,,,,
Syrian Arab Republic,SYR,89.0,50.37141047642769,9.0,32.383,4772.461676671595,,1785.3371865484005,112.14365352307988,183630.0,1873793523.0,3347759175.0,,735142.0,31.9347917036965,63.3986449885914,11.2,,3057.114461311278,72.6124992370605,39.10508752277802,,,,,,,,
Chad,TCD,11.7,93.7929631876281,10.0,59.14,2624.11789713994,12.4865,9409.556903062465,14.147701098325612,1259200.0,4572376318.0,1272127776.0,2.0442448086408,36670.0,47.403703285376,50.5407859323781,25.8883248730964,70.0,3997.12039289064,25.7635558629694,89.98185721813579,4397.0,0.72,53125.0,679.0,221.0,805.0,588.0,499.0
Togo,TGO,57.2,70.96989500361002,10.0,56.797,2935.013673207869,35.5105,2931.902578238909,7.121463674340049,54390.0,1345745986.0,2759939392.0,4.1415364948095705,-1997.0,40.2169600368591,56.667625806837,18.6813186813187,,2978.6990322788,42.7332327975627,75.96436534848961,4239.0,579.0,57.7,696.0,7.0,713.0,594.0,414.0
Thailand,THA,99.9,21.899973385855287,9.0,66.549,22243.074772702603,87.9772,17142.42771553569,4.659552337865463,510890.0,283134552593.0,297173920716.0,1.24105269630565,21683.0,15.4329660912268,70.4702497426338,15.7464212678937,,13476.498026683235,59.742374420166,49.729756400914,6007.0,867.0,68525.0,881.0,301.0,868.0,773.0,218.0
