Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Netherlands,NLD,100.0,23.458805115329483,13.0,65.327,81728.69046292681,97.0068,115189.52646039888,6.302106669933821,33670.0,910170959874.0,838011532460.0,1.44136515676766,144558.0,15.1712741911722,64.6719699066872,40.0,77702.57228686499,95.3221682092129,13.46323133829517
New Caledonia,NCL,100.0,31.94589502570089,0.0,50.995,,,,-3.970867005886447,18280.0,1717666638.0,2838967422.0,,485.0,21.5262385314771,67.3834259899714,,,67.751522311337,13.872652976775411
New Zealand,NZL,100.0,28.344390427969486,10.0,68.833,54697.382252318,96.1638,69282.98245848322,4.149848578192987,263310.0,41447669371.0,50397718490.0,1.22064828880902,21404.0,18.374736798151,64.8266830806157,44.2622950819672,70554.15305877218,83.8898991461229,13.072873890758132
Nicaragua,NIC,88.3,44.6427387297616,7.0,62.795,8319.97944140996,58.2314,8033.291850575758,10.781773656599,120340.0,3399719209.0,8063194788.0,0.554656019996368,-7996.0,29.2038763042394,65.4168400230201,51.6483516483517,4507.604061411989,59.1250953674316,39.326243086910864
Niger,NER,20.1,93.06916982858344,,79.236,1875.1530677062756,23.1879,2850.0332647488567,3.4883090951918376,1266700.0,468693161.0,3147101261.0,1.97616000981122,995.0,46.9657223410195,50.4632420340669,,2804.97056943963,17.7506873295237,84.2026758255113
Nigeria,NGA,61.2,74.78825137341391,9.0,80.021,8705.434266935388,39.2136,4315.543856977233,10.82258064013601,910770.0,62935553625.0,64304882433.0,0.8426542773651969,-57936.0,41.4922288282697,55.4796081821744,3.91061452513966,5924.54269590042,62.1746763155343,66.9627274265273
North America,NAC,100.0,26.68801289014433,11.0,60.03908268747952,80387.02182296503,93.3,,3.5983913553565827,,2584915808285.0,3671158455728.0,3.1531420556291105,1756510.0,17.350482410965732,65.01226756114903,29.701686121919572,,80.33587416917115,4.399627012849752
North Macedonia,MKD,100.0,26.0854987006124,13.0,44.934,25429.094470061555,87.1819,11176.24213097033,7.882399941882582,25220.0,8994572227.0,12052112295.0,1.69322815512816,-5597.0,17.0678427766327,65.4304246393509,42.5,17155.473453539274,62.2518322545779,9.93863251143773
Northern Mariana Islands,MNP,100.0,32.88501854539591,,,,,,,460.0,,,,-1321.0,22.5860044746694,68.6806370865915,,,91.9754112887573,
Norway,NOR,100.0,25.41091212129748,10.0,63.587,103637.51684367847,99.0,242728.45296198843,-11.076803422959188,364270.0,177532001180.0,96773953828.0,1.81314737150102,53806.0,16.5067663290493,64.9593860812691,46.1538461538462,107242.5655443122,83.0718560702166,4.263176467295937
OECD members,OED,99.92294862594146,26.15745640430585,11.0,57.83323186018265,59701.29374858386,,69044.8363013755,6.257457921691987,,13424313769195.0,14625079058208.0,2.3623457569835065,3840307.0,16.950656080467642,64.80238597119714,32.828637320766056,62727.54029977987,81.05426450727046,12.149673994897253
Oman,OMN,100.0,34.98425483601465,10.0,66.16,41945.02556408825,95.2517,46800.75274501623,-4.695811337036986,309500.0,22742357540.0,38702075207.0,5.52596096461175,156285.0,25.2277705941197,72.1117848940114,0.0,33624.20418254729,79.5702973228932,3.80182805139298
Other small states,OSS,94.49546921752648,36.04003459196534,9.5,54.33476180955117,27998.67169085938,,32549.01277550179,5.1660571012007495,,55579179354.0,87782292737.00002,1.822933924773058,16355.0,23.807695564567275,66.05900502750274,24.365004703668863,29378.68985839396,54.74133847253461,25.811660644115644
Pacific island small states,PSS,88.87057136185011,54.82915839139671,,62.27933593083747,7855.019476246727,,12435.747615309572,6.848767741233132,,2652086780.0,25439129501.0,,-10577.0,33.61013906663341,61.29966145162796,8.638743455497385,10548.214231010124,40.252635833537575,51.79985319808865
Pakistan,PAK,95.6,63.02670112249582,12.0,49.63,6013.9896363860025,27.3759,3848.788058041259,26.015692008864065,770880.0,28365270090.0,49447125610.0,2.88079974069692,-1619557.0,37.0380613955353,58.7656671472458,20.4678362573099,7397.519042357967,38.8191861872791,55.8687963776163
Palau,PLW,100.0,26.26028601102501,12.0,,18230.269862741385,,,11.03520908148883,460.0,1910650.0,269216466.0,,-19.0,18.5418135664927,70.6078127203497,6.25,,79.1531991438847,
Panama,PAN,97.0,38.49136781290034,11.0,60.881,39813.385793997215,68.5485,52803.31779076666,2.259749161634275,74180.0,3292519354.0,10366735653.0,,7262.0,25.2761698939099,65.6670948127046,22.5352112676056,37317.000582198845,65.8601271176084,36.06764921206567
Papua New Guinea,PNG,20.5,53.78773840200856,,50.585,4667.835670929906,24.0667,31058.547855133525,-4.341779213099301,452860.0,10855732694.0,6323422276.0,0.336863761991679,-787.0,33.8042289262327,62.8474628800723,2.7027027027027,6456.145131166495,15.0581017891206,71.4787048247142
Paraguay,PRY,99.8,44.38108340173247,13.0,66.652,17564.491236937418,78.0948,25912.994850107043,2.174994501354277,396012.03,11890079554.0,17055497991.0,0.922071975751778,-12500.0,28.7810049639502,64.8497197458967,22.5,10502.692378626592,69.3466081733694,36.23031559986691
Peru,PER,96.2,36.54677835753636,14.0,69.125,17011.227802882473,79.4848,22231.099537824448,6.335395643881796,1280000.0,64118009184.0,64054170156.0,1.23585995220031,24783.0,24.3581613536547,66.6492724892561,38.7596899224806,11703.95965571666,84.7810255849745,48.6156423897245
Philippines,PHL,98.0,43.25937820422241,13.0,60.069,10985.829262750516,83.7661,13648.923089358952,4.601433070782406,298170.0,72913259752.0,126105122495.0,1.17630268153778,-164284.0,28.6075480855588,66.130280353328,27.3311897106109,9180.223929218362,55.1242716168851,34.25839054966028
Poland,POL,100.0,23.10411720694426,9.0,57.605,48473.09402864191,86.4147,33451.4845936266,9.865692702349977,306270.0,379470866188.0,367300454083.0,3.2698045925311803,-7824.0,15.0967665723491,65.3423219583981,29.3478260869565,34175.07205235377,59.8859561370214,16.560657682250028
Portugal,PRT,100.0,20.467775879600893,12.0,54.75,49352.83886130321,85.7901,35781.1967661113,7.487648083402504,91605.6,81528125832.0,113585647939.0,1.46642848168082,29102.0,12.8936466432193,62.9948427426708,36.0869565217391,43299.94114064629,61.2048652633664,10.21866908111222
Post-demographic dividend,PST,100.0,23.72308135570013,11.0,58.21857612534749,65676.56126534253,,82971.57600323403,6.221234711906774,,12807084741851.0,14063300070600.0,2.5125348272772143,3699917.0,15.22085513732262,64.16053163907657,33.52266399376321,73264.47064325567,81.06111831671505,8.12205726954042
Pre-demographic dividend,PRE,52.53098832017885,77.21325101199243,9.0,66.63703912145245,5102.900927131582,,7586.606666416734,4.604474207074972,,365602778407.0,341865484988.0,1.405884164977795,-812057.0,42.312723665755655,54.799821070702144,25.148279952550425,5552.307020462785,44.94327466527626,72.61693166668094
Puerto Rico (US),PRI,100.0,18.830754256382736,13.0,39.722,47543.39377615281,,,3.315673225277976,8870.0,,,,19833.0,12.0048827545151,63.7513928419682,,,94.1774359275881,10.374536264062098
Qatar,QAT,100.0,18.20713092657553,12.0,87.437,129367.8696709272,99.6528,123913.07300529952,-9.204633079840749,11490.0,97056934038.0,30543792909.0,,39995.0,15.1605930954569,83.2673118766117,4.44444444444444,74542.37710625521,99.2835325193835,0.4432727611693787
Romania,ROU,100.0,24.66424552229561,10.0,48.847,47038.52886261129,89.2034,21112.48178005181,12.35229950420782,230080.0,100268470917.0,131914675611.99998,1.60357956167259,-27780.0,15.8764699816463,64.3703890976471,19.0909090909091,32050.53114463149,52.1645747011867,13.32273182390177
Russian Federation,RUS,100.0,26.586037547335472,11.0,60.224,44268.73046875,92.245,25494.26141443792,7.998570997420515,16376870.0,455153947739.4,262126467987.014,5.4023184412068606,27807.0,17.5149816677095,65.8803755973048,16.4444444444445,18039.085527548195,74.9805047873279,5.198038850607208
Rwanda,RWA,63.9,64.55677702386237,6.0,55.8,3399.451746031431,34.2005,3719.510344156628,11.948836092478416,24670.0,1576917613.0,3824459170.0,1.2523162074359302,-9001.0,37.7313644590553,58.4467853189567,61.25,4579.382124778302,28.8555310645477,40.17158728551336
Samoa,WSM,100.0,69.69649146122666,8.0,41.301,8194.807256407335,58.1386,12768.766145510794,6.829688879145436,2780.0,32869492.0,462211601.0,,-2810.0,38.7278861642274,55.5664788173338,12.962962962963,24188.47097584692,17.5012799804602,42.00226161815134
San Marino,SMR,100.0,19.34743474347435,10.0,,78745.43132993352,87.0278,,7.355426733851218,60.0,213337637.0,432262056.0,,-190.0,12.6954717260802,65.6221744608315,33.3333333333333,,97.1317310361655,
Sao Tome and Principe,STP,81.3,66.16902758228265,6.0,21.328,6149.981460819318,61.4607,5120.368443981168,23.74605855243668,960.0,16336136.0,181647312.0,,-592.0,38.2803854091995,57.8523117838278,14.5454545454545,11454.27299026859,68.6043921103568,35.13540192820243
Saudi Arabia,SAU,100.0,32.97268054850425,9.0,62.718,71564.80002856499,100.0,95930.44612661217,-2.184446262359927,2149690.0,322168782993.0,210678505214.0,7.28424248969983,325691.0,24.0974420859461,73.0830540448599,19.8675496688742,40588.37985538747,84.2962388315415,1.573746300017026
Senegal,SEN,74.2,66.85633548883203,11.0,50.437,4777.614518615782,60.6122,4755.187970948292,3.052506093729292,192530.0,5047630143.0,11721883231.0,1.47655823980403,-9999.0,38.6295981592884,57.780014004645,46.0606060606061,5221.963637939497,54.6992276190794,63.5514222455658
Serbia,SRB,100.0,22.666218642587204,8.0,53.292,29800.06111777616,85.3575,16498.837412202494,13.93029637112761,84090.0,30902085296.0,39760828092.0,2.20807318692135,4348.0,14.3502902099022,63.3113501282481,34.8,18595.83215127152,62.1434649229738,24.04944552336619
Seychelles,SYC,100.0,28.155895089468093,11.0,,31780.78383419647,87.4009,,4.089349112198519,460.0,548978129.0,1464729495.0,1.4864216122768998,1809.0,20.139819695898,71.5292241921681,22.8571428571429,,45.0971081321658,
Sierra Leone,SLE,35.5,66.13567106106409,9.0,51.974,3368.317271880632,20.635,5892.888204151911,29.260226452341414,72180.0,513987404.0,1938583016.0,0.603276275520294,-4000.0,38.5317106104217,58.2616099356635,28.1879194630873,3623.0449755057234,44.809324991151,86.49839841417479
Singapore,SGP,100.0,15.692114293067371,6.0,67.004,143786.13629301317,94.2852,206376.31399989757,-5.018642640039701,718.0,475780622588.0,423282439729.0,2.83014132029943,26996.0,11.787475387969,75.1171578881273,29.126213592233,90186.85712503156,100.0,9.068400382733053
Sint Maarten (Dutch part),SXM,100.0,21.91907209700804,14.0,,51686.65208180837,,,2.02312138728324,34.0,103897737.0,1172328555.0,,567.0,15.560597908723,70.9923039135418,,,100.0,
Slovak Republic,SVK,100.0,24.086456002033525,11.0,57.597,45973.94069029912,87.2131,28722.12897537088,10.02459018077171,48080.0,117450063871.0,113385394262.0,1.83861085562872,4933.0,15.9071734431039,66.0419899803454,22.0,40935.37290431784,53.190805019646,12.401751201696849
