Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Sudan,SDN,71.97858231639067,,,2115.81616210938,,,243.90725417404715,,-544257.0,40.471351616002,56.2269352912857,,,34.8673015510839,
Suriname,SUR,38.5774558701112,6.0,49.732,21800.52659898221,,18480.618500530138,12.810381480844228,,-1166.0,25.6391948060546,66.4615222143937,31.3725490196078,18104.148266161388,65.7641857200885,18.667286110673068
Sweden,SWE,27.278755199432105,,59.298,71844.9129880579,95.5293,138363.98128587462,3.007596416602184,1.99771738810168,50115.0,16.9857798610144,62.2674518966203,46.7048710601719,90677.8734519826,88.8559748346228,6.949011433256593
Switzerland,CHE,22.99059720214428,11.0,64.189,96497.6947971323,,222919.07045591145,1.2887446452561733,0.717812077671144,40099.0,14.9508108120831,65.0301373652331,38.5,148327.79107226696,85.4615370020764,9.59967248973297
Syrian Arab Republic,SYR,44.1236151092901,,32.048,,,,,,546494.0,29.1634383255752,66.0948525032233,9.6,,72.0761345758254,38.842384566603485
Tajikistan,TJK,60.54978249390902,9.0,35.647,5405.9801161913865,,,6.5767436431226685,1.84774975839365,-21236.0,36.2614039233108,59.8869268059856,26.984126984127,,26.1788063651548,28.250630411691706
Tanzania,TZA,78.16423069007004,7.0,82.445,4220.79638671875,,8171.919877313904,3.063215362777541,1.154617473534,-29865.0,42.5361081072203,54.4188908435551,37.4045801526718,3368.0702475786625,36.1684458862992,83.86306655560699
Thailand,THA,21.104528365248022,9.0,66.604,24712.06585751352,90.8672,16839.223235811914,0.9321988542563276,1.07876078016919,23321.0,14.7494821643648,69.887763454186,19.4,14093.615276661492,61.8689338391321,48.1425368175888
Timor-Leste,TLS,55.12005368976855,9.0,65.746,4422.7788217239895,,4947.061841007369,-1.31634461367058,2.66415662650602,-2552.0,33.6584470791168,61.0638509022317,35.3846153846154,3853.795012108306,28.6641074179574,58.7958082616923
Togo,TGO,69.02775904171703,,56.758,3365.458090073059,,3379.611781206326,1.814991111220124,1.99877193389434,-14014.0,39.5258110006841,57.260742521822,18.5840707964602,3036.94806748343,43.8148491605996,75.4593427790663
Tonga,TON,61.1645494046237,,49.209,,,,,,-2149.0,35.4032378054341,57.8811716766418,7.14285714285714,,21.1505271125521,33.94232221047865
Trinidad and Tobago,TTO,25.42220399692029,7.0,56.223,36328.513006568486,,47035.79475567581,-0.1254889177977958,0.921416388185832,1334.0,17.7602988231385,69.8613492737509,28.5714285714286,31144.838433621124,53.961056681951,21.215146442674445
Tunisia,TUN,36.18613762034602,,38.508,14521.008093763836,,9031.193262284463,5.00122946056743,2.50636792573464,-15221.0,24.03896145257,66.4314172009062,15.6862745098039,15712.208008855718,70.3585355691955,18.02527625893997
Turkiye,TUR,31.41918436440627,,49.43,45639.01927359441,87.3079,36403.77979899634,59.2800755919836,1.92255231276371,-275952.0,21.4489074757866,68.2669114485188,19.8664440734558,39943.54927408007,89.3443122873887,24.2129995221766
Turkmenistan,TKM,49.25802584977193,12.0,40.473,21213.08625019529,,,6.558609612317355,,14646.0,31.5068646687967,63.9628922468928,25.6,,47.0875253910294,28.40157452269033
Turks and Caicos Islands,TCA,22.11413364872856,,,37954.38765434712,,,0.8293946251584998,,176.0,16.0708721486209,72.6772609569244,,,94.1670917861964,
Tuvalu,TUV,54.557939914163086,9.0,,,,,,,-280.0,32.9480068425691,60.3856720750609,0.0,,64.7254793441291,
Uganda,UGA,80.23638588468175,,77.781,3273.267174136397,8.94983,8706.24184721633,4.957279469395218,1.88159798311992,-117924.0,43.5430165404573,54.2684170783049,33.9317773788151,3599.7288322684417,31.2777698213557,74.57635437701046
Ukraine,UKR,20.68315461818749,11.0,,18550.462890625,,,12.279140806174226,34.4815297701892,1146012.0,13.8885360192623,67.1490154911006,21.0918114143921,,69.5315643200148,
United Arab Emirates,ARE,19.618337227776017,,76.789,79228.73880127602,100.0,83991.97938964312,1.626649742115703,,278439.0,16.1109795668483,82.1220600575181,50.0,57147.953985891385,85.8171088279791,1.579115264109849
United Kingdom,GBR,27.14206027569205,,58.871,62009.490776536586,,100082.34399910796,3.623249099582381,2.2786177901127003,417114.0,17.1850467046133,63.3151859345352,40.4615384615385,86176.48031591142,83.2429544416085,11.608541033165013
United States,USA,26.75747009963648,12.0,59.467,85809.90038463591,,,2.4827250950256285,3.41921653228044,1286132.0,17.3245769214436,64.7466928651531,28.735632183908,,80.1247798047184,3.851350795147776
Upper middle income,UMC,28.51885637655785,9.5,59.43441053475622,24933.057303754314,86.9,26813.922397956776,4.184094676003355,1.7946688979080356,598920.0,19.52471356003468,68.46247001396068,27.153418057978246,23529.322298674982,69.65048147918594,34.470405753826626
