Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Western and Central,AFW,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,1.16521472040735,1.5133117010417,1.6340028710339651,2.34250594156262,2.58203189576576,3.90691882115435,4.414017623274665,4.31741137433801,4.8348243868542,5.19922510380966,5.365124648726161,6.016212055469545,6.2630317788977,6.53141734205604,6.37532017736399,5.67548266252619,
Africa Western and Central,AFW,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,19.282331754818916,18.604401733236088,20.51118187992258,17.90791546019208,19.54381151884784,20.23541452515861,20.127068718504162,17.984122630312413,24.17750462865412,20.41900023209481,23.024890200116428,16.550455579475116,14.585444334398042,18.056890488606776,17.375474889848586,16.2821548578034,16.698845258639796,13.678376769924746,11.542854062001366,
Africa Western and Central,AFW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,,,,,,,,,,,,,,,32.6624592295656,,,,
Africa Western and Central,AFW,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,90.869389959889,86.0969978855012,90.56098629037496,96.07446116305385,121.64909007231044,110.02448182845552,114.47166668040842,127.79935850176243,126.29665730623906,136.03225419641583,23.44665046653587,26.77276769117595,25.204740638734904,25.772981140080645,20.470539194305168,22.953580815279583,23.93819653650195,24.210001804982543,,
Africa Western and Central,AFW,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,-1.013940795117477,-3.395234531859186,-3.7495163038932535,-4.993477453198017,-2.327628250351023,1.0926935514454565,1.1648053459252126,1.3945279608791366,2.1994454362261737,1.4657378400691061,3.063853326063916,4.925836286002332,4.404321266905332,5.283582469027968,5.654306655837275,7.535449855632918,7.906159570753441,10.098750432872164,,
Africa Western and Central,AFW,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.21009616157847,1.55800138831063,1.96292284118359,2.38948913926987,2.66661647153308,2.97037371813334,3.1863659951021,3.41624328024947,3.5367981611164447,3.63169231066423,3.54027017089045,3.32010810478678,3.26988197996804,3.714540763586175,4.27977313608951,3.965674994494675,4.2411550331707,4.15274485870081,,
Africa Western and Central,AFW,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,57.925036572996945,58.5840256885116,63.666751498873346,81.58540075054884,92.6202624614799,106.34667613747999,119.977228301824,129.781588064792,123.83492904286601,122.937410983118,136.535387269838,155.701068883704,168.620808458339,177.62040184377952,184.311632633386,185.98760100335198,203.009400887646,265.030626559549,,
Africa Western and Central,AFW,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,8.675139759586026,8.500442558877737,12.328432457669969,15.21254944750139,16.36299304980613,13.012713803506045,11.857511436633555,11.612288654905285,12.57749469513912,13.975849869757564,14.441516407800705,15.859360761642385,14.932154102928795,13.292858882315016,11.073850301696137,11.733098053715942,12.65058159850629,12.627145213244626,,
Africa Western and Central,AFW,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,8.629915056023663,8.462476908843527,12.059059355032517,15.141099317156836,16.314267602645693,12.931182042665105,11.787249611426148,11.531846414032065,12.495926116401895,13.904220520353723,14.357547709302892,15.752783871736595,14.77989451250678,13.148614543794666,10.657490995069697,11.204333353827861,11.966213179117815,12.434169376104451,15.200541036295666,
Africa Western and Central,AFW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.631633513576132,4.415899841695609,3.6073676798459626,8.452976233267547,3.2824403758932093,1.78484420477113,4.018699075344916,4.578374635159479,2.4392007610412625,1.768435821462237,2.1308173805879145,1.487415507555459,1.7254860237473135,1.784049948320438,1.9830922848723191,2.490377839319491,3.7455678233300924,7.949251435240162,5.221168013240019,3.608044269505664
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.230521103837894,5.134103739937643,6.163248929117735,9.644458079056939,1.489404691920285,5.425011295220692,8.313632703191061,5.081560707855047,1.5540253216717943,0.6488998949669593,1.9115545281716635,1.7363231292840027,1.8680595285804102,2.1503389329898184,1.3586285085498133,1.9052718249993035,4.959387981935258,6.976259203413392,3.5738095636314924,4.027244795577651
