Indicator Name,total_values,null_values,coverage_percent
"PPG, other private creditors (NFL, current US$)",5320,3882,27.030075187969924
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",5320,3933,26.071428571428573
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",5320,3936,26.015037593984964
"Gross fixed capital formation, private sector (current LCU)",5320,3968,25.413533834586467
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",5320,4030,24.24812030075188
"Net official flows from UN agencies, FAO (current US$)",5320,4039,24.07894736842105
"PPG, bonds (NFL, current US$)",5320,4108,22.781954887218046
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",5320,4128,22.406015037593985
"Net official flows from UN agencies, UNPBF (current US$)",5320,4146,22.06766917293233
"Net bilateral aid flows from DAC donors, Iceland (current US$)",5320,4171,21.597744360902254
"Net bilateral aid flows from DAC donors, Estonia (current US$)",5320,4208,20.902255639097746
"Net official flows from UN agencies, UNTA (current US$)",5320,4276,19.62406015037594
Net secondary income (Net current transfers from abroad) (constant LCU),5320,4412,17.06766917293233
Financial intermediary services indirectly Measured (FISIM) (current LCU),5320,4510,15.225563909774436
"PNG, bonds (NFL, current US$)",5320,4588,13.759398496240602
Financial intermediary services indirectly Measured (FISIM) (constant LCU),5320,4645,12.68796992481203
"Net ODA provided, total (current US$)",5320,4680,12.030075187969924
"Net ODA provided, total (constant 2023 US$)",5320,4680,12.030075187969924
"Net ODA provided, to the least developed countries (current US$)",5320,4721,11.259398496240602
"Net official flows from UN agencies, UNRWA (current US$)",5320,4721,11.259398496240602
Net ODA provided to the least developed countries (% of GNI),5320,4722,11.240601503759398
"Net official flows from UN agencies, CERF (current US$)",5320,4769,10.357142857142858
Net primary income (Net income from abroad) (constant LCU),5320,4786,10.037593984962406
"Net financial flows, IMF concessional (NFL, current US$)",5320,4858,8.68421052631579
"Net ODA provided, total (% of GNI)",5320,4905,7.8007518796992485
"Net official flows from UN agencies, UNECE (current US$)",5320,4946,7.030075187969925
"Net official flows from UN agencies, UNWOMEN (current US$)",5320,4978,6.428571428571429
"Net official flows from UN agencies, SPRP (current US$)",5320,4979,6.409774436090226
"Net official flows from UN agencies, UNIDO (current US$)",5320,4995,6.109022556390977
"Net official flows from UN agencies, SDGFUND (current US$)",5320,5034,5.37593984962406
"Net official flows from UN agencies, WTO-ITC (current US$)",5320,5067,4.7556390977443606
"Net official flows from UN agencies, UNEP (current US$)",5320,5122,3.7218045112781954
"Net official flows from UN agencies, UNCOVID (current US$)",5320,5139,3.4022556390977443
"Net official flows from UN agencies, UNCDF (current US$)",5320,5143,3.327067669172932
"Net official flows from UN agencies, UNWTO (current US$)",5320,5153,3.1390977443609023
Present value of external debt (current US$),5320,5191,2.424812030075188
Present value of external debt (% of GNI),5320,5210,2.0676691729323307
"Present value of external debt (% of exports of goods, services and primary income)",5320,5213,2.011278195488722
"Net official flows from UN agencies, UNIDIR (current US$)",5320,5225,1.7857142857142858
"Net official flows from UN agencies, UNCTAD (current US$)",5320,5233,1.6353383458646618
Net official aid received (constant 2023 US$),5320,5296,0.45112781954887216
Net official aid received (current US$),5320,5296,0.45112781954887216
