Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Guatemala,GTM,95.4,16.0,57.871,10755.880102958896,44.401,12649.09852644523,3.565816245801628,107160.0,11125169300.0,0.430070763358893,-57746.0,61.1806848214015,19.375,62.8,54.1882267267974,33.763804276249715,6262.0,774.0,62.3,901.0,-65.0,773.0,0.82,311.0
Guyana,GUY,91.6,6.0,45.209,13240.971376115518,55.3127,22199.187760698624,2.961188463072673,196850.0,1465875588.0,1.29961278504611,-20603.0,64.9468529650288,31.8840579710145,11.3,26.4258834773058,28.4664638159168,,,,,,,,
"Hong Kong SAR, China",HKG,100.0,9.0,58.245,61221.41954007013,91.7434,40452.0366570966,2.044973295965363,1050.0,535575001838.0,,-7170.0,70.5644998078365,,0.2,100.0,6.006846030134249,5659.0,856.0,,727.0,63.0,432.0,519.0,358.0
Honduras,HND,91.1,12.0,59.578,5784.930810571108,39.3884,6527.962553098469,3.3587408846643854,111890.0,2533306797.0,1.57817708956802,-6546.0,63.4708932102134,21.09375,46.2,56.3791561389766,34.89290886296284,5.93,797.0,63.0,846.0,62.0,815.0,789.0,279.0
Croatia,HRV,100.0,8.0,47.536,31144.16429775809,79.0798,26771.25085007404,1.98621613216514,55964.0,17147141896.000002,1.6036107424916,-13239.0,64.2827891136582,20.5298013245033,31.6,56.303247958306,9.22176837984446,5626.0,936.0,68.6,739.0,-143.0,932.0,504.0,269.0
Haiti,HTI,45.4,6.0,56.547,3236.974925046073,39.262,9269.737990721786,19.80038790062126,27560.0,1241086360.0,0.0859315095445588,-34612.0,62.6972382125323,2.54237288135593,76.4,52.0069059952475,74.2860616254666,,,,,,,,
Hungary,HUN,100.0,13.0,56.477,35627.231552085825,80.3717,25137.53582814426,4.752936533956259,91260.0,123789695339.0,1.32782522734016,34339.0,65.8474599647003,12.5628140703518,13.6,70.4565277099609,7.591975357865754,6.0,947.0,67.2,798.0,-199.0,884.0,653.0,0.18
Indonesia,IDN,98.9,9.0,65.789,11986.47015083764,47.6906,13597.509101620502,1.5984884998414373,1877519.0,167677148172.0,0.728563743551525,-30421.0,67.4223673692444,17.3913043478261,19.8,55.7382049560547,49.138303631225,5347.0,802.0,62.8,866.0,552.0,861.0,0.8,302.0
India,IND,95.9,8.0,48.88,7150.92423452926,29.5235,5430.471984070953,2.4055171610651342,2973190.0,322312560000.0,2.5459982314359,-978969.0,66.944203338595,14.3911439114391,33.5,33.8139578818147,75.2031954710256,3249.0,561.0,60.3,876.0,111.0,752.0,0.56,466.0
Ireland,IRL,100.0,10.0,59.227,92022.59879983004,87.0001,308221.4646334765,3.397014639979816,68890.0,169021686421.0,0.273293508559262,29663.0,65.3435974647567,22.1518987341772,12.3,63.2737009154127,10.416169465826766,7255.0,944.0,71.1,892.0,69.0,373.0,758.0,223.0
